query_index,class_id,best_same,best_cross,nn_sim,nn_same_class
18900,6296,0.971318,0.510194,0.971318,true
18910,25909,0.783780,0.542718,0.783780,true
18920,41370,0.820098,0.536561,0.820098,true
18930,40019,0.949701,0.817504,0.949701,true
18940,58247,0.802666,0.688133,0.802666,true
18950,8027,0.884621,0.582700,0.884621,true
18960,47173,0.983037,0.603538,0.983037,true
18970,9184,0.985677,0.722246,0.985677,true
18980,9531,0.937726,0.761454,0.937726,true
18990,38755,0.938386,0.678749,0.938386,true
19000,2814,0.841183,0.778196,0.841183,true
19010,41586,0.976094,0.836608,0.976094,true
19020,13911,0.817602,0.581605,0.817602,true
19030,13162,0.987365,0.696812,0.987365,true
19040,18469,0.961799,0.553700,0.961799,true
19050,24719,0.725659,0.543725,0.725659,true
19060,7532,0.918445,0.712396,0.918445,true
19070,33227,0.881420,0.725165,0.881420,true
